text,label,multi_label,split,language,length,source,potential_noise
@chrishasboobs AHHH I HOPE YOUR OK!!!,0,human,train,en,6,twitter,0
"@TiannaChaos i know  just family drama. its lame.hey next time u hang out with kim n u guys like have a sleepover or whatever, ill call u",0,human,train,en,27,twitter,0
School email won't open  and I have geography stuff on there to revise! *Stupid School* :'(,0,human,train,en,16,twitter,0
upper airways problem,0,human,train,en,3,twitter,0
Going to miss Pastor's sermon on Faith...,0,human,train,en,7,twitter,0
on lunch....dj should come eat with me,0,human,train,en,7,twitter,0
@piginthepoke oh why are you feeling like that?,0,human,train,en,8,twitter,0
@mrstessyman thank you glad you like it! There is a product review bit on the site  Enjoy knitting it!,0,human,train,en,19,twitter,0
@PerezHilton Zach makes me pee sitting down! And I'm a grown gay man!,0,human,train,en,13,twitter,0
to sum up my day in one word ......... kackered!,0,human,train,en,10,twitter,0
@k9wkj Great minds think alike,0,human,train,en,5,twitter,0
"@wizely lol, calm down.  i got a 30day loan offer for only 1500%",0,human,train,en,13,twitter,0
"i'm feeling quite sleepy today, wish i could stay in bed today...but OK! is my LAST YEAR, so let's go to school",0,human,train,en,22,twitter,0
@nadalnews Yeah  Mathieu totally choked in the 3rd set to let Rog win as well. Djokovic played TERRIBLY.,0,human,train,en,18,twitter,0
"ugh, morning's off to a rough start",0,human,train,en,7,twitter,0
just bit my tongue,0,human,train,en,4,twitter,0
"@GogDog I'd be willing to pay $40-50 (thus covering the cost of the set) for one of them, but if you've got a counter offer I'll listen.",0,human,train,en,27,twitter,0
Working on photos from Hillsong's 1 year celebration!!! stay tuned   www.hillsong.co.za,0,human,train,en,11,twitter,0
"baby's chicken pox are soo bad on the face, I am afraid she might have scars",0,human,train,en,16,twitter,0
i don't feel good,0,human,train,en,4,twitter,0
This day will pass slowly.  All of these days will.  RAWR!!!!  ...,0,human,train,en,12,twitter,0
my car is poorly,0,human,train,en,4,twitter,0
im turning 18 one week from now  but i don't feel excited  i really don't know why i've seen my friends  they got excited  but on my part,0,human,train,en,28,twitter,0
No woooooork tomorrrow&amp;tuesday,0,human,train,en,3,twitter,0
Flatmates are still in the bathroom! ARGGH!!,0,human,train,en,7,twitter,0
I'm having an allergic reaction to silver earings,0,human,train,en,8,twitter,0
"@RocDoogie I am, I'll admit...  maybe I'll feel better tomorrow, yo! Down 4 studio time??",0,human,train,en,15,twitter,0
what is with msn making me click the wrong people. garrrrr,0,human,train,en,11,twitter,0
Too full of fizz but not enough cider,0,human,train,en,8,twitter,0
Time to sleep... Long day again tomorrow,0,human,train,en,7,twitter,0
Hahaha blakk is reckkkin it. :p throwwwwwed.,0,human,train,en,7,twitter,0
@SuzySpaatz ~ hi! sounds like you're feeling a bit better...that's great! you have a great day!,0,human,train,en,16,twitter,0
@foprof LOL.  Leave a kid on internet and the kid will do stupid things.,0,human,train,en,14,twitter,0
eating cha with eric,0,human,train,en,4,twitter,0
"@StarJonesEsq On a good note, we DID meet at Marty Richards RED BALL a few years ago, you were so sweet to me I'll never forget it",0,human,train,en,27,twitter,0
My hands are officially tied. I don't think I'll have time for anything anymore  This includes the California meet,0,human,train,en,19,twitter,0
"@Konstantine I said &quot;scar,&quot; sweetie.",0,human,train,en,5,twitter,0
@CamilleJ it was supposed to go live on tv but it didn't happened in the end  that would have been cool being on the bbc...,0,human,train,en,25,twitter,0
FCK-Brï¿½ndby 4-0!,0,human,train,en,2,twitter,0
@team_allen jealous!  I'm yet to find a local chinese i'm satisfied with,0,human,train,en,12,twitter,0
@BayAreaCheap there r a few of us local yocals around  happy to find u on twitter 2day,0,human,train,en,17,twitter,0
"just back from SuperCheap - a most successful trip. The bikes are tanked &amp; checked for the week, so all ready to start relaxing",0,human,train,en,24,twitter,0
@ElleChanel want to shoot...but i'm not in charlotte ..,0,human,train,en,9,twitter,0
