text,label,multi_label,split,language,length,source,potential_noise
回复@沂蒙山区老母鸡:如何解决保鲜问题？ //@沂蒙山区老母鸡:我想办法给您快递好吗？[太开心] //@中青旅新疆公司郑穗:我明天就试，问题是哪里去找真正的 “老母鸡”？现在的鸡，差不多都是几个月出笼。  //@北京律师成义:,0,human,train,zh,5,weibo,0
幻想的吧，大中午的。 //@小树林s:这牛逼吹的有点大了。瑞银的老板都脸红。[哈哈],0,human,test,zh,2,weibo,0
#实时旅讯# 厦门鼓浪屿昨日出现海市蜃楼！[太开心] 海上升仙山，美哭了！新年刚开始就有奇观看，今年很值得期待呢~厦门你是越来越浪漫了咩[偷笑] http://t.cn/zYGMT1w （照片源自网络）,0,human,train,zh,5,weibo,0
电视里在公布通缉犯的画像，姐总感觉哪里不对啊[晕],0,human,train,zh,1,weibo,0
我想出去玩，好烦啊，天天都在这个楼里[怒]何日能见光明[悲伤],0,human,train,zh,1,weibo,0
好舒服。。。服了。。。//@猴子搬救兵也救不了你:最后那位骚年你这么淡定真的好吗哈哈哈哈！//@穿着马甲闯江湖: [伤心] 学妹是学长的。。。学弟必要的时候也是学长的。 //@臭流氓爱逛街: 3分18秒……笑尿了好么……,0,human,train,zh,5,weibo,0
对@kun小西 说：被你虐到了 【那年，张雨生还没死，王杰正红←kill me softly with his song】 [泪],0,human,train,zh,9,weibo,0
今天特别累[悲伤],0,human,train,zh,1,weibo,0
谢谢亲的支持～[爱你],0,human,test,zh,1,weibo,0
回复@闻闻是香的还是臭DI啊:欢迎下次再来！@金陵连锁酒店 //@闻闻是香的还是臭DI啊:总统套房真的很高端大气哦，遗憾没看到西式总套什么样[泪] //@宁杰Luck_Zhu:@知性宇纯 @业梅Candy //@圣卡洛琳: 真心给力的高清图！摄影技术了得！ //@苏州金陵观园国际酒店: 高清照片果然给力！@金陵连锁酒店,0,human,train,zh,8,weibo,0
每一个人都是知天使，如果您想成为知天使，欢迎致电4008-016-610报名咨询。[可爱],0,human,train,zh,1,weibo,0
原来是三叉神经痛[生病][泪]求安慰[可怜][悲伤],0,human,train,zh,1,weibo,0
我的主持梦啊，碎了一地![泪],0,human,train,zh,1,weibo,0
回复@跨界黑马_李明明:同样开心，多联系[嘻嘻] //@跨界黑马_李明明:[围观]~~~~很高兴认识你，多交流。 //@柳朝阳2012:人生路充满各式各样的风险,0,human,test,zh,3,weibo,0
头痛[失望][可怜]！就吃＂散利痛＂[生病][生病]，今天已经是联系第三天了[抓狂][抓狂]，奇怪的是每天头疼的时间比次日提早一小时左右[思考][思考]！这样的状况与几年前一样！难道真的是2012了吗！[黑线][黑线],0,human,test,zh,1,weibo,0
#探寻IHG酒店系列之旅#昨天店员好心告诉我客房内网络可能不是很快，于是我就直觉的认为房间内网不好了，选好Wifi以后竟然忘记需要打开一个页面点确认[晕]咱是动手族，自己找到了CMCC免费网络信号也没深究这个问题。今天老公告诉我其实酒店免费网络很好用[鼓掌]我在天津和平智选假日酒店@酷讯旅游体验师,0,human,train,zh,1,weibo,0
鸟儿[抓狂] 好大好棒的一只鸟儿。//@hello90国际影视文化传媒:@丛枫 @秀业田军 @张滨益 @夜千night @卉0109 @稻草田人 @袋猫儿 @导演罗雪 @班师回超 @Grace李琴 @吾酷小宝,0,human,train,zh,12,weibo,0
蛇年刚开始，急性肠胃炎、心绞痛、胃溃疡、扁桃体发炎、发烧感冒，继续吊水7天。[泪][泪][泪],0,human,train,zh,1,weibo,0
我也爱你，是亲，亲情你懂得。[爱你] //@菲式:至亲爱的?亲??@夏末_天天天有晴 @Yohoo_hedy,0,human,train,zh,3,weibo,0
"把社会化媒体上看到的翻译成一个人的全部, 这VC也挺傻的不是吗？还不被装B范儿们骗得一溜一溜的[哈哈]//@经纬张颖:我对户外运动等兴趣的追求是我生活必须的一部分…我决不会因此而改变自己生活与工作的平衡。至于这投资人的态度，我从来没把同行怎么看我当回事，他走他的，我活我的。",0,human,train,zh,2,weibo,0
回复@摄手唐:太冷了，还是上海好 //@摄手唐:真心喜欢北京的冬天[抓狂],0,human,test,zh,2,weibo,0
【求职③】 可以为想登天的老板架梯子； 可以为搞出口的老板骗鬼子。[晕][晕]同学们那你呢？就以“可以为......老板......” 表达下自己...[酷][酷][酷][酷][围观],0,human,test,zh,4,weibo,0
回复@永不停歇的牛牛:没有，还没买到[衰] //@永不停歇的牛牛:没有羊蛋蛋啊 //@马剑是谁:回复@美食重庆人:靠，没有。[衰][衰][衰]  //@美食重庆人:为何没有羊鞭[偷笑],0,human,train,zh,4,weibo,0
我再也不抱怨中外电影史和艺术概论了！再也不抱怨新闻史和马克思主义新闻观了[泪][泪][泪][泪]//@zuzuishere:运筹学…送奶路径…4学分吧？老厚一本吧？考试总共五题还让大家罢交卷吧 //@安静de萌:看完这图我就哭了，幸好毕业的早[泪] //@赵婕kiki:@董董爱疯疯:,0,human,train,zh,3,weibo,0
不，鸡肉凉米线! //@保山市旅游局官方微博:好想回保山甩碗浆米线！[泪],0,human,train,zh,2,weibo,0
回复@像库里一样投篮好不好V:嘻嘻，那会阳光特别舒服，特意拍的[哈哈]亲看的仔细[嘻嘻][嘻嘻] //@像库里一样投篮好不好V:第3张图暴露了你@简安然 [嘻嘻] //@新浪武汉汽车:这是哪里？太帅了[嘻嘻],0,human,train,zh,4,weibo,0
救命！！！我一辈子最害怕，最憎恶得东西！！！它是飞出场的！吓得我从沙发边上掉下来！！！[抓狂][抓狂][抓狂][泪][泪][泪] @斯诺克球手误入IT 你半小时内不回来，我不敢拍它，我拍你！,0,human,test,zh,3,weibo,0
桑心！震惊！刚才吃完饭带爸妈回家，打着火后怎么也挂不上档，我镇定的跟老爸说：看来车坏了，准备叫救援。老爸伸脑袋看我的脚，说：你干嘛踩着刹车。。。崩溃！彻底忘记今天开手档车出来的。。。丢银！懊恼！界原来就是传说中的孕傻。。。想起@小S 当时的心情，各种纠结，该补脑嘞[泪],0,human,train,zh,2,weibo,0
