text,label,multi_label,split,language,length,source,potential_noise
قوتنا بعد الله دائما أنتم🌹💙 الف مبرووك 💙 الحمد لله و الشكر له 🙏,0,human,train,ar,14,ajgt,0
‌صباح_الخير صباح ھادئ 🍃 يعآنق السماء ب امنيات مسبوقه ب كلمة يآرب.💕🍃 🌷🌷,0,human,test,ar,13,ajgt,0
صباح الورد 🍁,0,human,train,ar,3,ajgt,0
وأحب أسافر مع سحاب تعلى 💙,0,human,train,ar,6,ajgt,0
"مرة سألهم شخص ليش چذي مغلدمين مادمتم ""على الصراط المستقيم"" قالوا نتذكر عذاب القبر 🙄فقارة شاقين ارواحهم كل الوقت 😬",0,human,train,ar,20,ajgt,0
انا قررت أطبق بس مش لدرجة ادخل اشوف الحاجات دي، العيال تحسهم متفقين مع بعض,0,human,train,ar,15,ajgt,0
راح تنفعك في قبرك 💚,0,human,train,ar,5,ajgt,0
لا انا حاسس ان اجيري هيفاجأنا بمنتخب ابن ناس اه وانا معاكي ف الحته دي والمنتخب بتاعنا معروف بكدا آ…,0,human,train,ar,20,ajgt,0
افا هذي اخرتها نردد نشيد #الاتحاد ؟ طول عمرنا نهايط ونقول #الهلال مايهمه أحد وفوق الجميع والحين ندور الفزعة من فريق…,0,human,test,ar,21,ajgt,0
💕🍃🌹🍃💕 💕.•°``°•.¸.•°``°•.💕 💕(س ريمووراب) 💕 💕`•.¸ 💗 ¸.•` 💕 💕° •.¸¸.•° 💕 💕💕…,0,human,train,ar,13,ajgt,0
اللطف شي شفته في حياتي😭😭,0,human,train,ar,5,ajgt,0
واقسم بالله عذااب,0,human,train,ar,3,ajgt,0
الشيء الوحيد الذي وصلوا فيه للعالمية هو : المسيار ..! . ترى كانوا يشجعون ريال مدريد ضد النصر 🤣,0,human,train,ar,19,ajgt,0
"هنآك أشخآص يشبهون آلسمآء. في علو مستوآهم,رآقين آلآخلآق وآفين آلطبع أصحاب قلوب صافية🌹 🌸 🌸 …",0,human,test,ar,16,ajgt,0
ثريد عن أشرف الناس 💔,0,human,test,ar,5,ajgt,0
محتاجه الرياض بكبره مو بس جوها 💔,0,human,train,ar,7,ajgt,0
اييوه باين قماش ابيض طيب كفرالغطا حق السرير مثلا 😐,0,human,train,ar,10,ajgt,0
وضع الدوري هالسنه 😁,0,human,train,ar,4,ajgt,0
❀ انا فتاةة زماني👸 أنوثتي كالجبال 🏔️ لاتنحني (stop_sign) لي الف رئي 🤔 والف مزاج 🎉🤗 ولي م…,0,human,train,ar,18,ajgt,0
حبيبتي يفدونج 😘,0,human,train,ar,3,ajgt,0
