text,label,multi_label,split,language,length,source,potential_noise
chỉ dân đen là khổ thôi . chả trách được họ khi cố gắng đi tìm may mắn ở nơi chùa chiền,0,human,train,vi,22,vsmec,0
thôi xong . chia buồn cùng quý quốc,0,human,train,vi,8,vsmec,0
per tao bị con mặt nồi này dí 2 lần táp vào chân bầm tím chạy muốn súc quần .. đang đi không làm gì nó nó cũng dí .. mẹ bà kkk,0,human,train,vi,33,vsmec,0
thanh xuân rồi cũng sẽ qua có những người trong ta mãi chẳng thể xoá nhoà !,0,human,train,vi,17,vsmec,0
một giây rung động con tim :))))),0,human,train,vi,7,vsmec,0
nóng cỡ nào nhĩ,0,human,train,vi,4,vsmec,0
thiết kế tinh tế quá,0,human,test,vi,5,vsmec,0
"buồn cho những ai thờ ơ , vô cảm trước một sự việc như thế .",0,human,train,vi,16,vsmec,0
"mất đi một di sản , chứng tích của lịch sử 😓",0,human,test,vi,12,vsmec,0
tao ấn tượng anh đầm hường ghê 😂,0,human,train,vi,8,vsmec,0
dở hơi,0,human,train,vi,2,vsmec,0
buồn quá buồn,0,human,train,vi,3,vsmec,0
moá hồi hợp chờ main thắng ai dè thua bởi cái mông huhu,0,human,test,vi,13,vsmec,0
mày xinh ghê vậy :d,0,human,train,vi,5,vsmec,0
đúng là chân thật luôn luôn tổn thương !,0,human,test,vi,9,vsmec,0
nguy hiểm lắm,0,human,train,vi,3,vsmec,0
xạo xạo ... thằng cải suốt ngày bị nó dụ,0,human,train,vi,10,vsmec,0
3 giờ sáng nằm xem xong khóc miên man 😢😢,0,human,test,vi,10,vsmec,0
"kết nó ở cái câu "" đất nước gia lai là một đất nước giàu tài nguyên , có anh per ""😑",0,human,train,vi,22,vsmec,0
lần sau nhìn thấy hắt nước tiểu vào người nó ngay,0,human,train,vi,11,vsmec,0
"đừng bao giờ sợ trở thành chính mình , bạn hãy nhớ bản gốc luôn có giá trị hơn bản sao",0,human,train,vi,21,vsmec,0
sao không ghé quán rồi nhờ người nhà cầm nón qua cho :))) tự làm khó mình vậy,0,human,train,vi,18,vsmec,0
tuổi thơ tôi bị ám ảnh mấy con ngỗng này . mấy con màu xám cứ mỗi lần đi học ngang qua ngõ nhà hàng xóm là nó đuổi . tao lại chạy thục mạng . cứ phải đắn đo mỗi lần qua đó xem có chúng nó không rồi ù chạy như ma đuổi . haizz tuổi thơ tôi ....,0,human,train,vi,61,vsmec,0
có người yêu coi bộ cũng vui 🙂,0,human,test,vi,8,vsmec,0
xem xong rồi mà có cảm thấy gì đâu ??,0,human,train,vi,10,vsmec,0
"đang tính đi nhổ răng khôn ( à quên , nó ngu chứ khôn đéo gì ..) nghe được cảnh báo này chắc không dám đi nhổ luôn .",0,human,train,vi,29,vsmec,0
tiên sư cái thằng ghép nhạc cười rớt mồm quả ghép,0,human,test,vi,11,vsmec,0
đời tao ghét con súc sinh này vãi .. nhiều khi tao tự vấn tao làm gì sai mà mỗi lần tao đi qua nó là y như rằng tao phải chạy như chó chứ không thể nào hiên ngang đi 1 cách như người bình thường,0,human,train,vi,47,vsmec,0
"đừng so nó với chó ., vì chó nhà tao cũng từng bị nó cắn rồi 🤧. nó đéo ' sợ bố con thằng nào cả .",0,human,train,vi,27,vsmec,0
có tất cả các vị mày niếm được,0,human,test,vi,8,vsmec,0
"nhìn là biết cái quả này fa lâu lắm rồi này , cũng may chưa đóng 🕸🕸🕸😂",0,human,test,vi,17,vsmec,0
nhiều khi nghĩ mình không phải con gái mà là 1 thằng đàn ông chính hiệu kkkk ....,0,human,train,vi,18,vsmec,0
"về thôi , nghỉ ngơi rồi nở rộ tiếp",0,human,test,vi,9,vsmec,0
dĩa bay . trả lại để tôi về,0,human,test,vi,8,vsmec,0
chỉ có trong truyền thuyết . mà khái niệm truyền thuyết trong ngữ văn lớp 6 là không có thật,0,human,train,vi,20,vsmec,0
per đây . cô gái bán hàng thú vị đây . phải xem cho hết,0,human,train,vi,15,vsmec,0
dume cho vào bảo tàng làm lồn gì -.- nhà khoa hc đã nghiên cứu sừng tê giác như móng tay của bạn thế sao không đem về mà chữa bênh đụ má rảnh ghê :((,0,human,train,vi,36,vsmec,0
mua thuốc ngoài thú y sức vào vài ngày nó không bám nữa,0,human,train,vi,13,vsmec,0
mở máy lên .. rồii lại đặt xuống ... cả ngày nay tôi đều như vậy để chờ anh nhắn chúc tôi .. giờ này chắc anh quên ngày này thật rồi .. cô đơn quá mức rồi đấy 😭😭,0,human,train,vi,40,vsmec,0
per trung thu đéo liên quan đến việc có gấu cho lắm bạn nhể .... nhưng mà lễ gì cũng thế thì đúng là bất hạnh mà huhu,0,human,train,vi,28,vsmec,0
1 lần thôi cũng đủ xao xuyến anh rồi,0,human,train,vi,9,vsmec,0
per đưa anh nè không cần năn nỉ . chỉ cần em cởi hết đồ ra thôi . đúng không,0,human,train,vi,20,vsmec,0
nhiều lúc ngáo ngáo thoải mái đến mức người yêu cũng đéo bằng nó và đến khi nó thổ lộ tình cảm thì tao đéo tin :v,0,human,train,vi,27,vsmec,0
tránh xa tao ra,0,human,train,vi,4,vsmec,0
tạm biệt ánh sáng của đời tao,0,human,test,vi,7,vsmec,0
